,head,head_replaced,head_translated
413,PersonX suits PersonX's taste,someone suits his taste,有人适合他的品味
414,PersonX pressures PersonY,someone pressures someone else,有人向别人施压
415,PersonX traces the ___ in this book,someone traces something in this book,有人在这本书里找到了一些东西
416,PersonX gets PersonY ___ back,someone gets someone else something back,有人拿回别人的东西
417,PersonX leads the ___ back,someone leads something back,有人把东西带回去
418,PersonX plays a ___ well,someone plays something well,有人演奏得很好
419,PersonX takes ___ to target,someone takes something to target,有人拿东西瞄准
420,PersonX props up the bar,someone props up the bar,有人撑起了酒吧
421,PersonX grabs PersonY's purse,someone grabs someone else's purse,有人抢别人的钱包
422,PersonX loses PersonY's lives,someone loses someone else's lives,有人失去了别人的生命
423,PersonX works things out,someone works things out,有人能解决问题
424,PersonX creates PersonY structure,someone creates someone else structure,有人创造了别人的结构
425,PersonX extends PersonX's ___ far,someone extends his something far,有人把他的东西
426,PersonX hides PersonY,someone hides someone else,有人藏了别人
427,PersonX gets back to sleep,someone gets back to sleep,有人又睡着了
428,PersonX walks around campus,someone walks around campus,有人在校园里走动
429,PersonX receives PersonY's share,someone receives someone else's share,有人得到别人的那份
430,PersonX protects PersonX's property,someone protects his property,有人保护他的财产
431,PersonX carries the mail,someone carries the mail,有人拿着邮件
432,PersonX does something different,someone does something different,有人做了不同的事
433,PersonX bangs to rights,someone bangs to rights,有人猛击
434,PersonX is a happy couple,someone is a happy couple,有人是幸福的一对
435,PersonX takes the next step,someone takes the next step,有人迈出了下一步
436,PersonX is happy with PersonX's purchase,someone is happy with his purchase,有人对他买的东西很满意
437,PersonX uses PersonX's ___ to help,someone uses his something to help,有人用他的东西帮忙
438,PersonX holds the keys in PersonX's hand,someone holds the keys in his hand,有人手里拿着钥匙
439,PersonX gets PersonY's car fixed,someone gets someone else's car fixed,有人把别人的车修好了
440,PersonX analyzes the ___ in terms,someone analyzes something in terms,有人用术语分析某事
441,PersonX prevents the note from passing,someone prevents the note from passing,有人阻止纸条传递
442,PersonX puts PersonY's ___ into execution,someone puts someone else's something into execution,有人把别人的东西处死
443,PersonX graduates from college,someone graduates from college,某人大学毕业
444,PersonX lays eyes on the painting,someone lays eyes on the painting,有人盯着那幅画
445,PersonX decides to walk instead,someone decides to walk instead,有人决定步行
446,PersonX saves or to destroy ___,someone saves or to destroy something,某人拯救或毁灭某物
447,PersonX maintains PersonX's existence,someone maintains his existence,有人维持着他的存在
448,PersonX wraps ___ around my neck,someone wraps something around my neck,有人在我脖子上缠了什么东西
449,PersonX gets healthy,someone gets healthy,有人变得健康
450,PersonX calls PersonY crazy,someone calls someone else crazy,有人说别人疯了
451,PersonX enjoys spending time,someone enjoys spending time,有人喜欢花时间
452,PersonX spends less time,someone spends less time,有人花更少的时间
453,PersonX gives PersonY a raise,someone gives someone else a raise,有人给别人加薪
454,PersonX takes ___ to the game,someone takes something to the game,有人把东西带到游戏中
455,PersonX says would pay,someone says would pay,有人说
456,PersonX promotes to manager,someone promotes to manager,某人被提升为经理
457,PersonX decides to go for a swim,someone decides to go for a swim,有人决定去游泳
458,PersonX has PersonX's act together,someone has his act together,有人一起行动
459,PersonX organizes ___ in a way,someone organizes something in a way,某人以某种方式组织某物
460,PersonX measures ___ by feet,someone measures something by feet,某人用脚测量某物
461,PersonX signs away PersonX's ___,someone signs away his something,有人签走了他的东西
462,PersonX speaks PersonX's ___ freely,someone speaks his something freely,有人随心所欲地说着他的东西
463,PersonX takes PersonY's phone,someone takes someone else's phone,有人拿走了别人的手机
464,PersonX becomes too much,someone becomes too much,有人变得太多
465,PersonX becomes a professional gamer,someone becomes a professional gamer,有人成为职业玩家
466,PersonX smells something burning,someone smells something burning,有人闻到烧焦的味道
467,PersonX feels ___ in PersonY's back,someone feels something in someone else's back,有人感觉到别人的背影
468,PersonX does PersonY's research,someone does someone else's research,有人做别人的研究
469,PersonX keeps the ___ in mind,someone keeps something in mind,有人记在心里
470,PersonX sends PersonY's home,someone sends someone else's home,有人送别人回家
471,PersonX finds ___ to help PersonY,someone finds something to help someone else,有人找到了可以帮助别人的东西
472,PersonX loses PersonY temper,someone loses someone else temper,有人发脾气
473,PersonX makes a snowman,someone makes a snowman,有人堆雪人
474,PersonX tries to get PersonY's attention,someone tries to get someone else's attention,有人想引起别人的注意
475,PersonX starts screaming,someone starts screaming,有人开始尖叫
476,PersonX regains PersonX's balance,someone regains his balance,有人恢复了他的平衡
477,PersonX orders ___ for dinner,someone orders something for dinner,有人点了晚饭吃的东西
478,PersonX nurses ___ back,someone nurses something back,有人把东西拿回来
479,PersonX would be fired,someone would be fired,会有人被开除
480,PersonX measures accurately the ___,someone measures accurately something,某人准确地测量某物
481,PersonX gets clothes back,someone gets clothes back,有人把衣服拿回来
482,PersonX holds PersonY hand,someone holds someone else hand,有人握着别人的手
483,PersonX makes it right,someone makes it right,有人做对了
484,PersonX is PersonY 's first trip,someone is someone else 's first trip,某人是别人的第一次旅行
485,PersonX wants to cheer PersonY up,someone wants to cheer someone else up,有人想让别人高兴起来
486,PersonX looks fun,someone looks fun,有人看起来很有趣
487,PersonX finds PersonY attractive,someone finds someone else attractive,有人觉得别人有魅力
488,PersonX exercises PersonX's functions,someone exercises his functions,有人行使他的职责
489,PersonX receives no ___ yet,someone receives no something yet,有人还没有收到什么东西
490,PersonX asks PersonY why,someone asks someone else why,有人问别人为什么
491,PersonX finally landed ___,someone finally landed something,有人终于找到了什么东西
492,PersonX puts ___ in PersonY's place,someone puts something in someone else's place,有人把东西放在别人的位置
493,PersonX rejects every ___,someone rejects every something,有人拒绝一切
494,PersonX gets PersonY's wallet back,someone gets someone else's wallet back,有人拿回了别人的钱包
495,PersonX takes ___ in the park,someone takes something in the park,有人在公园里拿东西
